time_s,setpoint,T1_measured,T2_measured,Tmean_measured,T1_equilibrium_from_steady,T2_equilibrium_from_steady,Tmean_equilibrium_from_steady,T1_dynamic_fit,T2_dynamic_fit,Tmean_dynamic_fit,Tsurface_final_model_from_setpoint,Tmean_minus_final_model_C
37.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.87961826283549,38.97723164212579,38.92793714434476,38.92793714434476,-3.7779371443447545
38.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.911000993239085,39.01339716712245,38.96178944057964,38.96178944057964,-3.8117894405796378
39.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.94065107436372,39.04772909932811,38.99385494486322,38.99385494486322,-3.8438549448632173
40.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.968664166258264,39.08032040193143,39.02422796765099,39.02422796765099,-3.874227967650981
41.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.99513064755366,39.11125932488567,39.052997841503824,39.052997841503824,-3.9029978415038187
42.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,39.02013590705148,39.140629643869815,39.08024918383125,39.08024918383125,-3.9302491838312434
43.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,39.04376061921381,39.16851088713437,39.10606214576654,39.10606214576654,-3.9560621457665377
44.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,39.06608100444324,39.19497855084605,39.130512647905746,39.130512647905746,-3.9805126479057407
45.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,39.0871690749927,39.22010430351453,39.15367260360389,39.15367260360389,-4.003672603603881
46.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,39.10709286729861,39.24395618005469,39.17561013048518,39.17561013048518,-4.025610130485177
47.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,39.1259166614868,39.26659876600996,39.196389750789294,39.196389750789294,-4.046389750789288
48.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,39.14370118875946,39.28809337243553,39.216072581142946,39.216072581142946,-4.06607258114294
49.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.16050382733221,39.30849820191494,39.23471651231496,39.23471651231496,-4.034716512314958
50.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.17637878755342,39.327868506159646,39.25237637948353,39.25237637948353,-4.052376379483526
51.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.19137728680303,39.346256735618326,39.26910412351638,39.26910412351638,-4.069104123516375
52.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.205547714735204,39.36371268150093,39.284948943738264,39.284948943738264,-4.084948943738262
53.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.21893578939781,39.38028361060212,39.299957442635126,39.299957442635126,-4.099957442635123
54.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.23158470473258,39.39601439328921,39.31417376292041,39.31417376292041,-4.114173762920409
55.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.243535269931705,39.410947625001036,39.3276397173668,39.3276397173668,-4.127639717366797
56.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.25482604110051,39.42512374158691,39.34039491178514,39.34039491178514,-4.140394911785137
57.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.26549344565102,39.43858112879781,39.35247686151231,39.35247686151231,-4.152476861512305
58.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.2755718998277,39.45135622622644,39.36392110175062,39.36392110175062,-4.163921101750617
59.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.285093919744604,39.463483625977474,39.374761292083285,39.374761292083285,-4.174761292083282
60.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.29409022629205,39.47499616633523,39.38502931547334,39.38502931547334,-4.1850293154733365
61.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.302589844251465,39.485925020682394,39.394755372037224,39.394755372037224,-4.194755372037221
62.0,35.0,35.2,35.3,35.25,39.44804014690984,39.690555344478234,39.56929774569404,39.310620195938014,39.49629978191058,39.403968067868774,39.403968067868774,-4.1539680678687745
63.0,35.0,35.2,35.3,35.25,39.44804014690984,39.690555344478234,39.56929774569404,39.31820718967322,39.506148542551244,39.41269449917495,39.41269449917495,-4.162694499174947
64.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.325375303372944,39.51549797084397,39.420960331970655,39.420960331970655,-4.220960331970652
65.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.33214766352052,39.5243733829481,39.42878987756718,39.42878987756718,-4.228789877567181
66.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.3385461197797,39.53279881149322,39.43620616407614,39.43620616407614,-4.236206164076137
67.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.34459131548821,39.540797070654165,39.443231004139314,39.443231004139314,-4.243231004139311
68.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.35030275425936,39.54838981792666,39.4498850590836,39.4498850590836,-4.249885059083596
69.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.35569886290654,39.55559761277101,39.4561878996897,39.4561878996897,-4.256187899689699
70.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.36079705089365,39.56243997228248,39.46215806375336,39.46215806375336,-4.262158063753354
71.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.36561376650324,39.56893542403927,39.46781311060833,39.46781311060833,-4.26781311060833
72.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.37016454990359,39.575101556270994,39.47316967277162,39.47316967277162,-4.2731696727716155
73.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.37446408328599,39.58095506548371,39.47824350486266,39.47824350486266,-4.278243504862658
74.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.37852623823385,39.586511801670305,39.483049529940565,39.483049529940565,-4.283049529940563
75.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.3823641204766,39.59178681122873,39.487601883395506,39.487601883395506,-4.287601883395503
76.0,35.0,35.1,35.3,35.2,39.44804014690984,39.690555344478234,39.56929774569404,39.3859901121727,39.596794377704285,39.491913954523476,39.491913954523476,-4.291913954523473
77.0,35.0,35.7,35.4,35.55,39.44804014690984,39.690555344478234,39.56929774569404,39.389415911858194,39.60154806046625,39.49599842590661,39.49599842590661,-3.945998425906616
78.0,45.0,37.1,35.8,36.45,48.52215995440731,48.91931041033436,48.72073518237084,39.89363725196202,40.07395878517064,39.98289849540217,39.98289849540217,-3.532898495402165
79.0,45.0,39.0,36.5,37.75,48.52215995440731,48.91931041033436,48.72073518237084,40.370020391560985,40.52241827733271,40.44409900468982,40.44409900468982,-2.694099004689818
80.0,45.0,40.9,37.6,39.25,48.52215995440731,48.91931041033436,48.72073518237084,40.82010228545194,40.948140864888515,40.880956427995514,40.880956427995514,-1.630956427995514
81.0,45.0,41.9,38.6,40.25,48.52215995440731,48.91931041033436,48.72073518237084,41.245335032729685,41.35227930932511,41.294755642120535,41.294755642120535,-1.0447556421205348
82.0,45.0,42.2,39.5,40.85,48.52215995440731,48.91931041033436,48.72073518237084,41.647090561693915,41.73592792710071,41.68671370549689,41.68671370549689,-0.8367137054968907
83.0,45.0,42.2,40.2,41.2,48.52215995440731,48.91931041033436,48.72073518237084,42.026665056101095,42.10012555280869,42.057983437776585,42.057983437776585,-0.857983437776582
84.0,45.0,42.4,40.7,41.55,48.52215995440731,48.91931041033436,48.72073518237084,42.38528313704179,42.44585835210921,42.40965681048299,42.40965681048299,-0.8596568104829956
85.0,45.0,42.6,41.2,41.900000000000006,48.52215995440731,48.91931041033436,48.72073518237084,42.72410181393536,42.774062492045076,42.74276815869689,42.74276815869689,-0.8427681586968845
86.0,45.0,42.9,41.6,42.25,48.52215995440731,48.91931041033436,48.72073518237084,43.044214217389154,43.08562667597259,43.058297223223235,43.058297223223235,-0.808297223223235
87.0,45.0,43.2,42.0,42.6,48.52215995440731,48.91931041033436,48.72073518237084,43.34665312596547,43.38139454997133,43.35717203218634,43.35717203218634,-0.7571720321863395
88.0,45.0,43.3,42.3,42.8,48.52215995440731,48.91931041033436,48.72073518237084,43.63239429823477,43.662166987248945,43.64027163052866,43.64027163052866,-0.8402716305286617
89.0,45.0,43.2,42.5,42.85,48.52215995440731,48.91931041033436,48.72073518237084,43.90235962086532,43.928704256726505,43.908428665441136,43.908428665441136,-1.0584286654411343
90.0,45.0,43.2,42.8,43.0,48.52215995440731,48.91931041033436,48.72073518237084,44.15742008290587,44.181728081676646,44.16243183532943,44.16243183532943,-1.1624318353294285
91.0,45.0,43.3,43.0,43.15,48.52215995440731,48.91931041033436,48.72073518237084,44.398398585857414,44.42192359398863,44.40302820951875,44.40302820951875,-1.253028209518753
92.0,45.0,43.5,43.2,43.35,48.52215995440731,48.91931041033436,48.72073518237084,44.62607259860006,44.64994118935217,44.630925425520054,44.630925425520054,-1.2809254255200528
93.0,45.0,43.7,43.3,43.5,48.52215995440731,48.91931041033436,48.72073518237084,44.8411766657407,44.866398288383394,44.84679377032012,44.84679377032012,-1.3467937703201187
94.0,45.0,43.8,43.5,43.65,48.52215995440731,48.91931041033436,48.72073518237084,45.04440477747405,45.071881008461695,45.051268151816956,45.051268151816956,-1.4012681518169572
95.0,45.0,43.7,43.6,43.650000000000006,48.52215995440731,48.91931041033436,48.72073518237084,45.23641260860307,45.2669457508044,45.24494996619896,45.24494996619896,-1.5949499661989535
96.0,45.0,43.7,43.7,43.7,48.52215995440731,48.91931041033436,48.72073518237084,45.417819633942365,45.45212070707678,45.42840886675997,45.42840886675997,-1.7284088667599704
97.0,45.0,43.7,43.8,43.75,48.52215995440731,48.91931041033436,48.72073518237084,45.58921112692965,45.627907289616815,45.60218443935283,45.60218443935283,-1.8521844393528326
98.0,45.0,44.0,43.9,43.95,48.52215995440731,48.91931041033436,48.72073518237084,45.75114004789325,45.79478148914762,45.766787789409065,45.766787789409065,-1.8167877894090623
99.0,45.0,44.1,44.0,44.05,48.52215995440731,48.91931041033436,48.72073518237084,45.904128828067904,45.95319516365377,45.922703045192534,45.922703045192534,-1.8727030451925373
100.0,45.0,44.1,44.0,44.05,48.52215995440731,48.91931041033436,48.72073518237084,46.04867105511448,46.10357726191161,46.070388781708346,46.070388781708346,-2.0203887817083483
101.0,45.0,44.0,44.1,44.05,48.52215995440731,48.91931041033436,48.72073518237084,46.18523306558174,46.24633498498655,46.21027936945499,46.21027936945499,-2.16027936945499
102.0,45.0,43.9,44.1,44.0,48.52215995440731,48.91931041033436,48.72073518237084,46.314255449447806,46.381854888842376,46.34278625198664,46.34278625198664,-2.342786251986638
