signal,a,b_C,R2_steady,tau_eff_s,tau_heating_s_diagnostic,tau_cooling_s_diagnostic,dynamic_full_trace_RMSE_C,t95_approx_s
T1,0.9074119807497464,7.68862082066872,0.9396034057870755,17.607836966783555,14.46467528003648,20.394927265123368,3.526967530735617,52.82351090035067
T2,0.9228755065856126,7.389912613981791,0.9352189555371639,19.219522957707504,17.393540672713783,20.84030505115098,3.65016754524284,57.65856887312251
Mean,0.9151437436676796,7.539266717325255,0.9374289198189358,18.441333594462826,15.987746210085644,20.62627185159415,3.5755059128784037,55.32400078338848
Average_of_T1_T2_parameters (diagnostic only),0.9151437436676795,7.539266717325255,,18.41367996224553,15.929107976375132,20.617616158137174,,55.241039886736594
